"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2017-04-24T23:01:14Z"
"Version","20170424230114"
"OfferCode","AmazonS3"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Availability","Storage Class","Volume Type","Fee Code","Fee Description","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Durability"
"G4ZWEDXHXZBGPHFD","JRTCKXETXF","G4ZWEDXHXZBGPHFD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to South America (Sao Paulo)","2017-04-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Outbound","EU (Ireland)","AWS Region","South America (Sao Paulo)","AWS Region","EU-SAE1-AWS-Out-Bytes","",""
"9QV45TMYFTYHNXW2","JRTCKXETXF","9QV45TMYFTYHNXW2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - US West (Oregon) Amazon S3 accelerated data transfer to EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan","US West (Oregon)","AWS Region","EU (Ireland)","AWS Region","USW2-EU-AWS-Out-ABytes-T2","",""
"ETUCFFAD8SK95MWF","JRTCKXETXF","ETUCFFAD8SK95MWF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.012 per GB - Glacier Early Delete","2017-04-01","0","Inf","GB-Mo","0.0040000000","USD","Fee","AmazonS3","EU (Ireland)","AWS Region","","","","Glacier:EarlyDelete","Pro-rated fee for deleting items prior to 90 days","","","","","","","","EU-EarlyDelete-ByteHrs","",""
"NR3GYUVAU7D79JWY","JRTCKXETXF","NR3GYUVAU7D79JWY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - South America (Sao Paulo) data transfer from EU (Ireland)","2017-04-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Inbound","South America (Sao Paulo)","AWS Region","EU (Ireland)","AWS Region","SAE1-EU-AWS-In-Bytes","",""
"3GYMSBDNNT2SPFWT","JRTCKXETXF","3GYMSBDNNT2SPFWT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Ireland) Amazon S3 accelerated data transfer to EU (Germany)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan","EU (Ireland)","AWS Region","US West (N. California)","AWS Region","EU-USW1-AWS-Out-ABytes-T2","",""
"WFJRB9TTNEXMA2UB","JRTCKXETXF","WFJRB9TTNEXMA2UB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to Asia Pacific (Sydney)","2017-04-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Outbound","EU (Ireland)","AWS Region","Asia Pacific (Sydney)","AWS Region","EU-APS2-AWS-Out-Bytes","",""
"N7JF33XCBEZEKJFQ","JRTCKXETXF","N7JF33XCBEZEKJFQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to US East (Northern Virginia)","2017-04-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Outbound","EU (Ireland)","AWS Region","US East (N. Virginia)","AWS Region","EU-USE1-AWS-Out-Bytes","",""
"HPJVQND9UC2KB6EP","JRTCKXETXF","HPJVQND9UC2KB6EP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to US West (Northern California)","2017-04-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Outbound","EU (Ireland)","AWS Region","US West (N. California)","AWS Region","EU-USW1-AWS-Out-Bytes","",""
"UP9BKH8PS563TW7H","JRTCKXETXF","UP9BKH8PS563TW7H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Asia Pacific (Sydney) Amazon S3 accelerated data transfer to EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Outbound from close by location","Asia Pacific (Sydney)","AWS Region","EU (Ireland)","AWS Region","APS2-EU-AWS-Out-ABytes","",""
"DFK3CDE2DRCJWDPF","JRTCKXETXF","DFK3CDE2DRCJWDPF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Ireland) Amazon S3 accelerated data transfer from US East (Ohio)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Inbound using edge locations within US, Europe or Japan","EU (Ireland)","AWS Region","US East (Ohio)","AWS Region","EU-USE2-AWS-In-ABytes-T1","",""
