"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2016-06-28T05:22:49Z"
"Version","20160501000000"
"OfferCode","AmazonVPC"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Endpoint Type","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation"
"X3UF9SDSFVV4R794","JRTCKXETXF","X3UF9SDSFVV4R794.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Seoul) data transfer from Asia Pacific (Mumbai)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","Asia Pacific (Seoul)","AWS Region","Asia Pacific (Mumbai)","AWS Region","APN2-APS3-AWS-In-Bytes",""
"G4ZWEDXHXZBGPHFD","JRTCKXETXF","G4ZWEDXHXZBGPHFD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to South America (Sao Paulo)","2016-05-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","EU (Ireland)","AWS Region","South America (Sao Paulo)","AWS Region","EU-SAE1-AWS-Out-Bytes",""
"TZPJVS2GCV8M5FXM","JRTCKXETXF","TZPJVS2GCV8M5FXM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer out of US East (Northern Virginia) to CloudFront","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","US East (N. Virginia)","AWS Region","Amazon CloudFront","AWS Edge Location","USE1-CloudFront-Out-Bytes",""
"6K3MDY58PDXXYTK4","JRTCKXETXF","6K3MDY58PDXXYTK4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Seoul) data transfer from US West (Northern California)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","Asia Pacific (Seoul)","AWS Region","US West (N. California)","AWS Region","APN2-USW1-AWS-In-Bytes",""
"Q9WM6F9YTQG8DHUM","JRTCKXETXF","Q9WM6F9YTQG8DHUM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - South America (Sao Paulo) data transfer from Asia Pacific (Seoul)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","South America (Sao Paulo)","AWS Region","Asia Pacific (Seoul)","AWS Region","SAE1-APN2-AWS-In-Bytes",""
"U8M79KXGWURDVW3Z","JRTCKXETXF","U8M79KXGWURDVW3Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per VPN Connection-Hour","2016-05-01","0","Inf","Hrs","0.0500000000","USD","Cloud Connectivity","AmazonVPC","US West (Oregon)","AWS Region","IPsec",,,,,,"USW2-VPN-Usage-Hours:ipsec.1","CreateVpnConnection"
"YDK4PZM37XA6F7Z7","JRTCKXETXF","YDK4PZM37XA6F7Z7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.16 per GB - South America (Sao Paulo) data transfer to Asia Pacific (Seoul)","2016-05-01","0","Inf","GB","0.1600000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","South America (Sao Paulo)","AWS Region","Asia Pacific (Seoul)","AWS Region","SAE1-APN2-AWS-Out-Bytes",""
"SCRJWVN46C6JYKT5","JRTCKXETXF","SCRJWVN46C6JYKT5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000 per GB - data transfer in per month","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"AWS Inbound","External","Other","Asia Pacific (Mumbai)","AWS Region","APS3-DataTransfer-In-Bytes",""
"ACH2TJGUSREDGA2B","JRTCKXETXF","ACH2TJGUSREDGA2B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Seoul) data transfer from US West (Oregon)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","Asia Pacific (Seoul)","AWS Region","US West (Oregon)","AWS Region","APN2-USW2-AWS-In-Bytes",""
"GHV2K67N2WSSBCK8","JRTCKXETXF","GHV2K67N2WSSBCK8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.14 per GB - Asia Pacific (Sydney) data transfer to Asia Pacific (Seoul)","2016-05-01","0","Inf","GB","0.1400000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","Asia Pacific (Sydney)","AWS Region","Asia Pacific (Seoul)","AWS Region","APS2-APN2-AWS-Out-Bytes",""
